"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","390","Check values for sonic","chromium","Mon Mar 17 15:20:46 AMT 2025","passed","Mon Mar 17 15:20:46 AMT 2025","Chain Values","api_tests\main_page\tvl_data\tvl_api.spec.ts","",""
"","1019","Payouts status","chromium","Mon Mar 17 15:20:59 AMT 2025","passed","Mon Mar 17 15:21:00 AMT 2025","","api_tests\stats_page\base_ovnplus\payouts.spec.ts","",""
"","1031","Tokens Base status weth","chromium","Mon Mar 17 15:20:43 AMT 2025","passed","Mon Mar 17 15:20:44 AMT 2025","Tokens Base status","api_tests\main_page\tokens\base.spec.ts","",""
"","1549","Sum of collateral percentages","chromium","Mon Mar 17 15:20:58 AMT 2025","passed","Mon Mar 17 15:20:59 AMT 2025","","api_tests\stats_page\base_ovnplus\collateral.spec.ts","",""
"","329","Portfolio api status","chromium","Mon Mar 17 15:20:51 AMT 2025","passed","Mon Mar 17 15:20:51 AMT 2025","","api_tests\stats_page\arbi_xusd\portfolio.spec.ts","",""
"","877","Annualized Yield","chromium","Mon Mar 17 15:21:00 AMT 2025","passed","Mon Mar 17 15:21:01 AMT 2025","","api_tests\stats_page\base_ovnplus\payouts.spec.ts","",""
"","4295","Generic Tokens API request sent from main page","chromium","Mon Mar 17 15:20:44 AMT 2025","passed","Mon Mar 17 15:20:48 AMT 2025","","api_tests\main_page\tokens\tokens.spec.ts","",""
"","334","Check values for optimism","chromium","Mon Mar 17 15:20:46 AMT 2025","passed","Mon Mar 17 15:20:46 AMT 2025","Chain Values","api_tests\main_page\tvl_data\tvl_api.spec.ts","",""
"","6056","Total Supply status","chromium","Mon Mar 17 15:21:05 AMT 2025","passed","Mon Mar 17 15:21:11 AMT 2025","","api_tests\stats_page\base_usdplus\supply.spec.ts","",""
"","2859","Tokens Base status ETH","chromium","Mon Mar 17 15:20:40 AMT 2025","passed","Mon Mar 17 15:20:43 AMT 2025","Tokens Arbitrum status","api_tests\main_page\tokens\tokens.spec.ts","",""
